gls_1,gls_2,gls_3
632.315,1.492087343,0
633.081,1.491393676,0
633.846,1.492087343,0
634.612,1.49064207,0
635.377,1.489543317,0
636.142,1.490295128,0
636.907,1.490988982,0
637.672,1.492549722,0
638.437,1.492029542,0
639.202,1.491856134,0
639.967,1.491682718,0
640.731,1.492087343,0
641.496,1.492087343,0
642.261,1.490873348,0
643.025,1.493300978,0
643.79,1.491913937,0
644.554,1.491740524,0
645.318,1.491278053,0
646.082,1.493069837,0
646.847,1.492896473,0
647.611,1.491335865,0
648.375,1.492029542,0
649.139,1.491393676,0
649.903,1.492723101,0
650.666,1.492780893,0
651.43,1.492260742,0
652.194,1.492202943,0
652.957,1.492491928,0
653.721,1.49179833,0
654.484,1.492202943,0
655.248,1.492838683,0
656.011,1.493358761,0
656.774,1.491509295,0
657.538,1.492549722,0
658.301,1.491046798,0
659.064,1.491913937,0
659.827,1.491220241,0
660.59,1.490468603,0
661.353,1.491509295,0
662.115,1.491278053,0
662.878,1.492087343,0
663.641,1.492029542,0
664.403,1.492029542,0
665.166,1.491682718,0
665.928,1.490988982,0
666.69,1.490584248,0
667.453,1.491278053,0
668.215,1.492318539,0
668.977,1.491220241,0
669.739,1.491278053,0
670.501,1.491913937,0
671.263,1.49064207,0
672.025,1.490757711,0
672.786,1.491740524,0
673.548,1.490237301,0
674.31,1.492087343,0
675.071,1.493358761,0
675.833,1.491682718,0
676.594,1.491740524,0
677.356,1.492665309,0
678.117,1.491046798,0
678.878,1.491856134,0
679.639,1.492376336,0
680.4,1.491278053,0
681.161,1.49081553,0
681.922,1.49301205,0
682.683,1.490699891,0
683.444,1.492491928,0
684.204,1.491104613,0
684.965,1.49197174,0
685.725,1.49301205,0
686.486,1.491856134,0
687.246,1.489832492,0
688.007,1.492145143,0
688.767,1.492665309,0
689.527,1.491335865,0
690.287,1.49301205,0
691.047,1.492491928,0
691.807,1.490699891,0
692.567,1.491682718,0
693.327,1.490584248,0
694.087,1.491682718,0
694.846,1.492376336,0
695.606,1.493705443,0
696.365,1.491509295,0
697.125,1.491913937,0
697.884,1.491046798,0
698.644,1.492896473,0
699.403,1.492838683,0
700.162,1.492145143,0
700.921,1.493127623,0
701.68,1.491567104,0
702.439,1.49197174,0
703.198,1.49179833,0
703.957,1.492434133,0
704.716,1.492376336,0
705.474,1.493532106,0
706.233,1.49301205,0
706.991,1.492202943,0
707.75,1.493358761,0
708.508,1.493820998,0
709.266,1.492376336,0
710.025,1.492145143,0
710.783,1.494225412,0
711.541,1.493820998,0
712.299,1.492549722,0
713.057,1.494514256,0
713.815,1.492491928,0
714.572,1.494225412,0
715.33,1.492838683,0
716.088,1.494456489,0
716.845,1.493185409,0
717.603,1.492318539,0
718.36,1.494572022,0
719.117,1.493127623,0
719.875,1.493878774,0
720.632,1.493763221,0
721.389,1.494340952,0
722.146,1.494629788,0
722.903,1.491335865,0
723.66,1.492491928,0
724.417,1.492780893,0
725.173,1.493185409,0
725.93,1.493994323,0
726.687,1.492376336,0
727.443,1.493647665,0
728.2,1.493820998,0
728.956,1.493069837,0
729.712,1.493416544,0
730.468,1.492896473,0
731.225,1.494167641,0
731.981,1.492376336,0
732.737,1.493763221,0
733.493,1.493589886,0
734.248,1.493647665,0
735.004,1.494918603,0
735.76,1.493589886,0
736.516,1.493994323,0
737.271,1.493474325,0
738.027,1.493820998,0
738.782,1.492954262,0
739.537,1.493532106,0
740.293,1.492838683,0
741.048,1.493185409,0
741.803,1.492665309,0
742.558,1.493416544,0
743.313,1.493358761,0
744.068,1.494398721,0
744.822,1.494283183,0
745.577,1.492838683,0
746.332,1.492549722,0
747.086,1.493358761,0
747.841,1.49301205,0
748.595,1.493127623,0
749.35,1.493647665,0
750.104,1.493300978,0
750.858,1.492723101,0
751.612,1.493589886,0
752.366,1.492780893,0
753.12,1.49197174,0
753.874,1.492029542,0
754.628,1.493474325,0
755.382,1.492838683,0
756.135,1.492896473,0
756.889,1.493705443,0
757.642,1.492954262,0
758.396,1.492723101,0
759.149,1.494340952,0
759.903,1.493127623,0
760.656,1.492087343,0
761.409,1.491856134,0
762.162,1.492723101,0
762.915,1.493185409,0
763.668,1.491451486,0
764.421,1.493069837,0
765.173,1.493243194,0
765.926,1.493936549,0
766.679,1.492896473,0
767.431,1.49301205,0
768.184,1.492549722,0
768.936,1.493243194,0
769.688,1.494340952,0
770.441,1.492087343,0
771.193,1.492491928,0
771.945,1.492896473,0
772.697,1.492607516,0
773.449,1.494167641,0
774.201,1.493474325,0
774.952,1.492145143,0
775.704,1.492434133,0
776.456,1.49197174,0
777.207,1.491913937,0
777.959,1.492607516,0
778.71,1.492318539,0
779.461,1.492723101,0
780.212,1.491624912,0
780.964,1.492202943,0
781.715,1.492260742,0
782.466,1.493647665,0
783.217,1.492838683,0
783.967,1.491856134,0
784.718,1.492549722,0
785.469,1.49197174,0
786.219,1.491220241,0
786.97,1.492318539,0
787.72,1.491046798,0
788.471,1.493069837,0
789.221,1.492549722,0
789.971,1.491509295,0
790.721,1.490295128,0
791.471,1.491913937,0
792.221,1.492896473,0
792.971,1.492087343,0
793.721,1.491509295,0
794.471,1.491682718,0
795.221,1.492896473,0
795.97,1.492087343,0
796.72,1.492202943,0
797.469,1.492087343,0
798.219,1.492665309,0
798.968,1.493127623,0
799.717,1.492549722,0
800.466,1.492896473,0
801.215,1.492145143,0
801.964,1.491509295,0
802.713,1.493936549,0
803.462,1.490931166,0
804.211,1.491740524,0
804.959,1.49197174,0
805.708,1.49064207,0
806.456,1.490931166,0
807.205,1.490988982,0
807.953,1.491567104,0
808.701,1.492029542,0
809.45,1.491624912,0
810.198,1.490468603,0
810.946,1.492607516,0
811.694,1.491220241,0
812.441,1.491451486,0
813.189,1.491567104,0
813.937,1.491682718,0
814.685,1.491913937,0
815.432,1.492549722,0
816.18,1.491740524,0
816.927,1.491740524,0
817.674,1.491509295,0
818.422,1.492087343,0
819.169,1.49197174,0
819.916,1.492376336,0
820.663,1.49179833,0
821.41,1.491451486,0
822.157,1.49081553,0
822.903,1.492607516,0
823.65,1.491335865,0
824.397,1.493358761,0
825.143,1.492780893,0
825.89,1.491682718,0
826.636,1.492607516,0
827.382,1.492376336,0
828.129,1.490988982,0
828.875,1.490757711,0
829.621,1.490873348,0
830.367,1.492318539,0
831.113,1.491913937,0
831.858,1.490584248,0
